Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       16.545  10.100  1.000 10.000 13.000 28.000 33.000 1.936     7
S[2]       13.909   9.562  1.000 10.000 12.000 16.000 34.000 3.182     5
S[3]       19.212  11.783  6.000 10.000 12.000 35.000 36.000 2.675     5
S[4]       11.096  10.112  1.000  1.000 11.000 18.250 30.000 4.434     4
S[5]       11.198   6.389  1.000 10.000 11.000 14.000 29.000 2.560     5
S[6]       10.703   6.221  1.000 10.000 11.000 14.000 29.000 2.725     5
S[7]       11.061   7.207  1.000  3.000 12.000 15.000 29.000 2.147     6
S[8]       14.671   8.034  1.000 10.000 13.000 22.000 29.000 2.038     7
S[9]        9.969   5.735  1.000  8.000 10.000 12.000 23.000 2.828     5
S[10]      17.693  12.126  1.000  8.000 16.000 29.000 39.000 2.794     5
S[11]      14.177   8.636  1.000 10.000 14.000 20.000 29.000 2.789     5
S[12]      17.676   6.815 10.000 12.000 16.000 24.000 29.000 1.827     7
S[13]      13.980   8.713  1.000 10.000 14.000 20.000 32.000 2.406     6
S[14]      11.115   5.922  1.000 10.000 12.000 15.000 23.000 2.816     5
beta[1]     0.088   0.219 -0.280  0.000  0.000  0.138  0.721 1.111   130
beta[2]     0.222   0.466 -0.152  0.000  0.109  0.162  1.876 1.674    10
beta[3]     0.506   0.434  0.000  0.123  0.469  0.861  1.353 2.496     5
beta[4]     0.161   0.257 -0.162  0.000  0.076  0.233  0.785 2.167     6
beta[5]     0.024   0.151 -0.346  0.000  0.000  0.124  0.232 1.365    15
beta[6]     0.029   0.182 -0.355 -0.007  0.000  0.125  0.491 1.192    32
beta[7]    -0.007   0.039 -0.125  0.000  0.000  0.000  0.080 1.205    24
beta[8]     0.122   0.074  0.000  0.085  0.125  0.167  0.273 1.610     8
beta[9]    -0.010   0.153 -0.381 -0.061  0.000  0.109  0.208 1.587     9
beta[10]    0.018   0.132 -0.253  0.000  0.000  0.004  0.325 1.296    15
beta[11]    0.055   0.158 -0.234  0.000  0.000  0.142  0.435 1.514    10
beta[12]    0.196   0.340 -0.238  0.000  0.000  0.245  1.110 1.424    11
beta[13]   -0.122   0.143 -0.430 -0.234 -0.079  0.000  0.051 1.366    12
beta[14]   -0.079   0.151 -0.434 -0.165  0.000  0.000  0.131 1.545     9
gamma[1]    0.585   0.493  0.000  0.000  1.000  1.000  1.000 1.367    11
gamma[2]    0.747   0.435  0.000  0.000  1.000  1.000  1.000 1.163    22
gamma[3]    0.830   0.375  0.000  1.000  1.000  1.000  1.000 1.316    15
gamma[4]    0.683   0.465  0.000  0.000  1.000  1.000  1.000 1.120    27
gamma[5]    0.671   0.470  0.000  0.000  1.000  1.000  1.000 1.081    38
gamma[6]    0.705   0.456  0.000  0.000  1.000  1.000  1.000 1.067    46
gamma[7]    0.196   0.397  0.000  0.000  0.000  0.000  1.000 1.165    26
gamma[8]    0.856   0.352  0.000  1.000  1.000  1.000  1.000 1.270    19
gamma[9]    0.646   0.478  0.000  0.000  1.000  1.000  1.000 1.260    14
gamma[10]   0.470   0.499  0.000  0.000  0.000  1.000  1.000 1.057    48
gamma[11]   0.574   0.495  0.000  0.000  1.000  1.000  1.000 1.191    18
gamma[12]   0.560   0.496  0.000  0.000  1.000  1.000  1.000 1.173    19
gamma[13]   0.630   0.483  0.000  0.000  1.000  1.000  1.000 1.089    34
gamma[14]   0.485   0.500  0.000  0.000  0.000  1.000  1.000 1.137    23
theta[1]    0.192   0.445 -0.469  0.059  0.133  0.236  1.575 1.186    26
theta[2]    0.256   0.508 -0.331  0.034  0.127  0.210  1.878 1.531    11
theta[3]    0.504   0.460 -0.329  0.141  0.491  0.866  1.357 2.173     6
theta[4]    0.237   0.391 -0.326  0.029  0.154  0.448  1.031 1.254    14
theta[5]    0.065   0.280 -0.403 -0.086  0.109  0.155  0.721 1.114    41
theta[6]    0.063   0.287 -0.403 -0.090  0.107  0.154  0.701 1.125    89
theta[7]    0.084   0.411 -0.424 -0.120  0.097  0.172  0.911 1.067    59
theta[8]    0.128   0.266 -0.290  0.095  0.130  0.176  0.551 1.156    86
theta[9]    0.046   0.363 -0.465 -0.127  0.096  0.154  0.774 1.107    50
theta[10]   0.080   0.559 -0.495 -0.100  0.093  0.200  0.910 1.181   120
theta[11]   0.105   0.265 -0.346 -0.029  0.120  0.184  0.691 1.109    43
theta[12]   0.218   0.410 -0.401  0.043  0.138  0.429  1.141 1.308    13
theta[13]  -0.066   0.312 -0.500 -0.254 -0.104  0.105  0.673 1.119    31
theta[14]  -0.026   0.376 -0.490 -0.223  0.012  0.129  0.660 1.118    35
xi[1]       0.066   0.906 -1.726 -0.240  0.076  0.457  1.663 1.042   160
xi[2]       0.028   0.949 -2.064 -0.373  0.027  0.480  1.935 1.030   300
xi[3]      -0.040   0.933 -1.955 -0.339 -0.042  0.313  1.744 1.015  4000
xi[4]      -0.005   0.990 -1.837 -0.399 -0.001  0.385  1.873 1.010  4000
xi[5]      -0.015   1.015 -1.988 -0.395 -0.013  0.379  1.926 1.011  4000
xi[6]       0.015   0.968 -1.885 -0.368  0.000  0.419  1.872 1.009  1100
xi[7]       0.020   0.935 -1.750 -0.366  0.011  0.395  1.848 1.009  4000
xi[8]       0.040   1.028 -1.844 -0.343  0.057  0.472  1.983 1.010   380
xi[9]       0.060   0.995 -1.992 -0.358  0.054  0.496  1.902 1.009   490
xi[10]      0.056   0.845 -1.684 -0.205  0.112  0.223  1.730 1.046  1200
xi[11]      0.032   0.901 -1.718 -0.326  0.033  0.428  1.679 1.008  2000
xi[12]      0.018   0.876 -1.531 -0.333 -0.015  0.339  1.588 1.035   210
xi[13]     -0.003   0.937 -1.743 -0.370 -0.002  0.343  1.764 1.010  1700
xi[14]     -0.034   0.989 -1.819 -0.334 -0.074  0.318  1.727 1.005  2100
xi[15]      0.010   0.979 -1.820 -0.355  0.005  0.357  1.841 1.005  4000
xi[16]      0.013   0.918 -1.735 -0.295  0.079  0.297  1.700 1.011  1800
xi[17]      0.007   0.958 -1.707 -0.393  0.001  0.365  1.944 1.008  4000
xi[18]     -0.027   0.962 -1.966 -0.398 -0.015  0.365  1.810 1.008  1800
xi[19]     -0.021   0.955 -1.787 -0.389 -0.010  0.351  1.812 1.016  4000
xi[20]      0.031   1.015 -1.716 -0.353  0.011  0.377  1.825 1.015  2600
xi[21]      0.032   0.993 -1.809 -0.356  0.009  0.411  1.934 1.004  2100
xi[22]     -0.002   0.948 -1.841 -0.370  0.004  0.353  1.774 1.009  2200
xi[23]      0.039   0.978 -1.807 -0.353  0.019  0.417  1.843 1.012  1300
xi[24]      0.000   0.966 -1.878 -0.384  0.006  0.398  1.800 1.003  4000
xi[25]      0.012   0.951 -1.909 -0.356  0.008  0.370  1.931 1.005  3200
xi[26]      0.052   0.893 -1.746 -0.257  0.124  0.391  1.569 1.028   770
xi[27]      0.014   1.001 -1.853 -0.376 -0.003  0.379  1.961 1.010  1700
xi[28]      0.024   0.955 -1.861 -0.361  0.033  0.415  1.670 1.015   350
xi[29]      0.009   0.986 -1.921 -0.348  0.073  0.372  1.857 1.003  4000
xi[30]      0.170   1.032 -1.700 -0.283  0.078  0.591  2.089 1.060    47
xi[31]      0.020   0.974 -1.844 -0.364  0.007  0.407  1.924 1.011   950
xi[32]      0.003   0.992 -1.946 -0.350  0.012  0.394  1.822 1.005  3200
xi[33]      0.058   1.033 -1.811 -0.361  0.019  0.443  2.000 1.007  2100
xi[34]      0.017   1.042 -1.971 -0.365  0.012  0.407  2.019 1.006  4000
xi[35]      0.023   1.060 -1.995 -0.355  0.026  0.428  1.826 1.012  1500
xi[36]      0.241   0.951 -1.548 -0.230  0.195  0.855  1.686 1.211    17
xi[37]      0.009   1.032 -1.758 -0.387  0.002  0.382  1.961 1.005  3200
xi[38]     -0.010   0.985 -1.908 -0.375 -0.019  0.359  1.888 1.011  4000
xi[39]      0.013   0.991 -1.875 -0.373  0.020  0.399  2.054 1.005  4000
deviance    8.194   5.680 -2.721  4.877  8.057 11.363 20.565 1.084    48

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 15.1 and DIC = 23.3
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       27.535  12.882  4.000 12.000 36.000 38.000 39.000 1.630     8
S[2]       16.180  14.735  1.000  2.000 12.000 33.000 39.000 4.341     4
S[3]       13.863  11.677  1.000  6.000 12.000 24.000 37.000 2.661     5
S[4]        8.184   7.598  1.000  2.000  8.000 12.000 29.000 3.574     5
S[5]       25.804  14.288  1.000 12.000 35.000 38.000 39.000 1.469    11
S[6]        7.178   6.181  1.000  1.000  6.000 12.000 19.000 2.085     6
S[7]       10.422  11.209  1.000  1.000  7.000 13.000 39.000 1.640     8
S[8]       20.894  13.413  1.000  8.000 26.000 36.000 39.000 3.191     5
S[9]        8.017   8.438  1.000  1.000  6.000 12.000 30.000 2.046     6
S[10]      20.285  15.698  1.000  2.000 21.000 38.000 39.000 3.835     5
S[11]      14.681  14.731  1.000  2.000  8.000 28.750 39.000 5.255     4
S[12]       6.467   4.310  1.000  2.000  8.000  9.750 12.000 4.271     4
S[13]      19.023  14.565  1.000  6.000 12.000 37.000 39.000 1.665     8
S[14]      20.561  15.829  1.000  2.000 21.000 38.000 39.000 4.213     4
beta[1]     0.120   0.374 -0.331  0.000  0.000  0.050  1.284 1.485    14
beta[2]     0.334   0.475 -0.221  0.000  0.000  0.623  1.617 1.314    16
beta[3]     0.481   0.459  0.000  0.000  0.481  0.833  1.374 1.854     7
beta[4]     0.366   0.386 -0.045  0.000  0.402  0.639  1.175 1.641     8
beta[5]    -0.008   0.132 -0.325  0.000  0.000  0.000  0.202 1.150    27
beta[6]    -0.307   0.758 -2.749  0.000  0.000  0.000  0.111 1.781     8
beta[7]    -0.005   0.023 -0.087  0.000  0.000  0.000  0.000 1.078   150
beta[8]     0.081   0.076  0.000  0.000  0.094  0.147  0.209 1.567     8
beta[9]     0.006   0.070 -0.141  0.000  0.000  0.000  0.212 1.057    61
beta[10]   -0.002   0.063 -0.203  0.000  0.000  0.000  0.152 1.226    32
beta[11]    0.006   0.127 -0.256  0.000  0.000  0.000  0.505 1.170    51
beta[12]    0.496   0.475 -0.032  0.000  0.489  0.857  1.387 2.424     5
beta[13]   -0.082   0.138 -0.443 -0.145  0.000  0.000  0.000 1.952     7
beta[14]   -0.058   0.137 -0.445  0.000  0.000  0.000  0.095 2.029     7
gamma[1]    0.363   0.481  0.000  0.000  0.000  1.000  1.000 1.061    48
gamma[2]    0.534   0.499  0.000  0.000  1.000  1.000  1.000 1.106    29
gamma[3]    0.716   0.451  0.000  0.000  1.000  1.000  1.000 1.194    19
gamma[4]    0.585   0.493  0.000  0.000  1.000  1.000  1.000 1.430    10
gamma[5]    0.270   0.444  0.000  0.000  0.000  1.000  1.000 1.026   120
gamma[6]    0.285   0.452  0.000  0.000  0.000  1.000  1.000 1.498     9
gamma[7]    0.085   0.279  0.000  0.000  0.000  0.000  1.000 1.052   130
gamma[8]    0.582   0.493  0.000  0.000  1.000  1.000  1.000 1.550     9
gamma[9]    0.162   0.369  0.000  0.000  0.000  0.000  1.000 1.015   280
gamma[10]   0.117   0.322  0.000  0.000  0.000  0.000  1.000 1.118    45
gamma[11]   0.172   0.377  0.000  0.000  0.000  0.000  1.000 1.167    27
gamma[12]   0.680   0.467  0.000  0.000  1.000  1.000  1.000 1.669     8
gamma[13]   0.338   0.473  0.000  0.000  0.000  1.000  1.000 1.622     8
gamma[14]   0.269   0.444  0.000  0.000  0.000  1.000  1.000 1.742     7
theta[1]    0.215   0.977 -0.969 -0.144  0.138  0.541  1.387 1.120    50
theta[2]    0.382   0.883 -0.613 -0.116  0.516  0.676  1.702 1.287    19
theta[3]    0.596   0.472 -0.262  0.174  0.639  0.936  1.384 1.382    11
theta[4]    0.495   0.835 -2.048  0.391  0.596  0.781  1.392 1.273    58
theta[5]    0.013   1.867 -2.304 -0.247  0.112  0.371  1.547 1.270   370
theta[6]    0.007   1.211 -2.791 -0.216  0.351  0.606  1.142 1.458    13
theta[7]    0.353   0.782 -1.805  0.041  0.485  0.678  1.458 1.162   210
theta[8]    0.236   0.927 -1.923  0.108  0.154  0.479  1.416 1.092   320
theta[9]    0.307   1.785 -2.140  0.066  0.495  0.664  1.516 1.273   420
theta[10]   0.206   0.851 -1.310 -0.190  0.171  0.576  1.521 1.281    29
theta[11]   0.310   0.790 -0.741 -0.163  0.457  0.647  1.630 1.319    20
theta[12]   0.659   0.383 -0.131  0.488  0.624  0.866  1.388 1.545     9
theta[13]   0.156   1.085 -1.801 -0.243  0.112  0.654  1.471 1.162    63
theta[14]   0.217   0.919 -1.116 -0.198  0.165  0.579  1.582 1.249    28
xi[1]       0.079   2.023 -2.278 -0.262  0.185  0.558  2.333 1.264   190
xi[2]       0.031   1.890 -2.683 -0.389  0.045  0.504  2.608 1.193  3700
xi[3]       0.048   2.338 -2.653 -0.455  0.010  0.462  2.608 1.222  3400
xi[4]       0.044   2.077 -2.808 -0.416  0.062  0.518  2.435 1.202  1700
xi[5]       0.003   2.211 -2.617 -0.412  0.006  0.417  2.637 1.220  4000
xi[6]       0.116   2.107 -2.474 -0.357  0.125  0.640  2.586 1.203   750
xi[7]       0.030   2.193 -2.641 -0.430  0.016  0.434  2.704 1.193  4000
xi[8]       0.233   2.441 -2.472 -0.265  0.306  0.717  2.517 1.254   200
xi[9]       0.078   2.082 -2.725 -0.422  0.039  0.497  2.853 1.218  1500
xi[10]     -0.059   1.894 -2.858 -0.463 -0.014  0.431  2.828 1.173  2800
xi[11]      0.052   2.963 -2.633 -0.459  0.014  0.467  2.543 1.232  2500
xi[12]      0.234   1.008 -1.598 -0.250  0.232  0.807  1.598 1.241    16
xi[13]      0.022   2.223 -2.767 -0.446  0.008  0.482  3.037 1.210  4000
xi[14]     -0.019   2.331 -2.645 -0.500 -0.029  0.398  2.665 1.200  4000
xi[15]      0.053   2.332 -2.635 -0.486 -0.016  0.456  2.855 1.219  1600
xi[16]     -0.294   2.262 -2.993 -0.655 -0.083  0.345  1.923 1.248    65
xi[17]      0.042   2.394 -2.592 -0.451 -0.004  0.457  2.778 1.209  4000
xi[18]     -0.035   2.042 -2.611 -0.482 -0.009  0.445  2.508 1.168  4000
xi[19]      0.066   1.854 -2.560 -0.440  0.018  0.475  2.915 1.180  4000
xi[20]      0.013   2.200 -2.541 -0.452 -0.016  0.436  2.707 1.194  3700
xi[21]      0.157   2.036 -1.887 -0.352  0.094  0.653  2.196 1.203   230
xi[22]     -0.013   2.103 -2.734 -0.471  0.001  0.458  2.645 1.184  4000
xi[23]     -0.026   1.995 -2.830 -0.470 -0.003  0.463  2.541 1.184  4000
xi[24]     -0.009   1.816 -2.714 -0.428  0.001  0.445  2.777 1.156  2300
xi[25]     -0.009   1.705 -2.575 -0.458 -0.012  0.438  2.427 1.175  3300
xi[26]     -0.023   2.034 -2.799 -0.452  0.014  0.458  2.681 1.193  4000
xi[27]      0.085   1.946 -2.336 -0.395  0.080  0.623  2.587 1.232   560
xi[28]     -0.025   1.951 -2.816 -0.434  0.035  0.476  2.645 1.193  4000
xi[29]      0.005   2.078 -2.547 -0.394  0.070  0.428  2.664 1.203  4000
xi[30]     -0.017   1.974 -2.897 -0.425  0.033  0.401  2.655 1.200  4000
xi[31]     -0.030   1.680 -2.806 -0.435  0.006  0.401  2.475 1.163  3800
xi[32]     -0.044   2.169 -2.904 -0.453 -0.008  0.440  2.473 1.204  4000
xi[33]      0.037   1.807 -2.487 -0.464  0.019  0.467  2.546 1.156  4000
xi[34]      0.017   2.809 -2.603 -0.451  0.016  0.466  2.767 1.244  4000
xi[35]     -0.052   2.004 -3.017 -0.473 -0.031  0.418  2.617 1.211  4000
xi[36]     -0.058   2.401 -2.547 -0.426  0.055  0.429  2.527 1.227   860
xi[37]      0.033   2.242 -2.653 -0.410  0.043  0.413  2.670 1.212  4000
xi[38]     -0.047   1.908 -2.348 -0.365 -0.035  0.322  2.465 1.206  3400
xi[39]     -0.014   2.245 -2.688 -0.417 -0.022  0.339  2.785 1.221  3100
deviance    6.704   5.871 -4.391  3.201  6.978 10.530 18.132 1.117    35

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 15.7 and DIC = 22.4
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%   Rhat n.eff
S[1]       19.845  13.173  1.000 12.000 15.000 33.750 39.000  2.946     5
S[2]       22.180  10.997 10.000 13.000 23.000 34.000 39.000  6.442     4
S[3]       22.795  11.081 10.000 13.750 20.000 33.000 39.000 10.638     4
S[4]       24.682  12.232  1.000 20.000 31.000 32.000 39.000  3.280     5
S[5]       12.994  12.141  1.000  2.000  9.000 22.750 34.000  3.813     5
S[6]       14.555  11.517  1.000  3.000 14.000 19.500 33.000  2.454     5
S[7]       21.333  14.304  1.000  6.000 15.000 34.000 39.000  2.761     5
S[8]       20.692  12.665  1.000 15.000 22.500 33.000 37.000  3.885     5
S[9]       21.288  14.000  1.000  8.000 19.000 35.000 39.000  3.087     5
S[10]      19.929  13.214  1.000  5.000 15.000 33.000 38.000  2.148     6
S[11]      25.985  12.239  5.000 15.000 32.000 38.000 39.000  1.689     8
S[12]      21.983  13.180  1.000 14.000 16.000 34.000 39.000  3.374     5
S[13]      18.278  11.982  1.000  5.750 15.000 32.000 38.000  1.570     9
S[14]      23.929  11.938  2.000 15.000 28.000 35.000 39.000  1.792     8
beta[1]     0.189   0.261 -0.161  0.000  0.118  0.345  0.888  1.547     9
beta[2]     0.278   0.299  0.000  0.000  0.138  0.551  0.784  1.397    11
beta[3]     0.230   0.247  0.000  0.000  0.139  0.400  0.760  2.104     6
beta[4]     0.427   0.312 -0.085  0.102  0.478  0.669  0.943  2.037     6
beta[5]    -0.014   0.121 -0.276 -0.045  0.000  0.000  0.276  1.095    53
beta[6]    -0.051   0.462 -1.694 -0.065  0.000  0.111  0.600  1.476    12
beta[7]    -0.021   0.041 -0.133 -0.026  0.000  0.000  0.002  1.110    34
beta[8]     0.137   0.053  0.000  0.109  0.138  0.172  0.233  1.107    32
beta[9]     0.016   0.093 -0.150  0.000  0.000  0.000  0.226  1.307    14
beta[10]    0.018   0.098 -0.205  0.000  0.000  0.087  0.207  1.105    45
beta[11]    0.108   0.249 -0.205  0.000  0.000  0.184  0.820  2.169     6
beta[12]    0.113   0.216 -0.143  0.000  0.080  0.152  0.852  1.220    26
beta[13]   -0.083   0.125 -0.392 -0.152 -0.027  0.000  0.109  1.191    18
beta[14]   -0.024   0.138 -0.397 -0.032  0.000  0.000  0.186  1.141    26
gamma[1]    0.810   0.392  0.000  1.000  1.000  1.000  1.000  1.280    16
gamma[2]    0.696   0.460  0.000  0.000  1.000  1.000  1.000  1.434    10
gamma[3]    0.735   0.441  0.000  0.000  1.000  1.000  1.000  2.233     6
gamma[4]    0.815   0.388  0.000  1.000  1.000  1.000  1.000  1.897     7
gamma[5]    0.452   0.498  0.000  0.000  0.000  1.000  1.000  1.258    14
gamma[6]    0.690   0.462  0.000  0.000  1.000  1.000  1.000  1.156    22
gamma[7]    0.314   0.464  0.000  0.000  0.000  1.000  1.000  1.138    25
gamma[8]    0.950   0.217  0.000  1.000  1.000  1.000  1.000  1.089   120
gamma[9]    0.388   0.487  0.000  0.000  0.000  1.000  1.000  1.248    15
gamma[10]   0.486   0.500  0.000  0.000  0.000  1.000  1.000  1.119    26
gamma[11]   0.639   0.480  0.000  0.000  1.000  1.000  1.000  1.232    16
gamma[12]   0.656   0.475  0.000  0.000  1.000  1.000  1.000  1.428    10
gamma[13]   0.596   0.491  0.000  0.000  1.000  1.000  1.000  1.100    31
gamma[14]   0.503   0.500  0.000  0.000  1.000  1.000  1.000  1.125    25
theta[1]    0.202   0.352 -0.305  0.037  0.140  0.375  0.927  1.254    17
theta[2]    0.388   0.319 -0.182  0.132  0.399  0.597  0.938  1.274    14
theta[3]    0.345   0.309 -0.064  0.134  0.308  0.551  0.916  1.389    11
theta[4]    0.464   0.360 -0.251  0.338  0.534  0.680  0.953  1.389    13
theta[5]    0.040   0.340 -0.460 -0.085  0.079  0.144  0.712  1.047   220
theta[6]    0.011   0.529 -1.715 -0.083  0.105  0.174  0.687  1.360    15
theta[7]    0.124   0.373 -0.380 -0.079  0.086  0.339  0.892  1.275    14
theta[8]    0.136   0.202 -0.001  0.112  0.141  0.175  0.253  1.220   270
theta[9]    0.166   0.383 -0.362 -0.039  0.133  0.352  0.908  1.176    19
theta[10]   0.042   0.348 -0.512 -0.077  0.101  0.145  0.624  1.056   200
theta[11]   0.155   0.354 -0.357 -0.054  0.119  0.348  0.885  1.253    14
theta[12]   0.211   0.323 -0.215  0.089  0.151  0.363  0.901  1.261    18
theta[13]  -0.060   0.422 -0.610 -0.192 -0.072  0.109  0.654  1.127    80
theta[14]   0.016   0.409 -0.619 -0.127  0.096  0.146  0.691  1.049   120
xi[1]       0.018   0.887 -1.442 -0.245  0.048  0.249  1.547  1.078  4000
xi[2]      -0.016   0.665 -1.332 -0.311  0.015  0.280  1.240  1.025  2400
xi[3]       0.006   0.916 -1.335 -0.302  0.006  0.321  1.467  1.089  4000
xi[4]      -0.005   0.923 -1.587 -0.317  0.008  0.332  1.468  1.066  1200
xi[5]       0.014   1.129 -1.478 -0.296 -0.047  0.312  1.578  1.160  3000
xi[6]      -0.013   0.958 -1.538 -0.310 -0.007  0.313  1.526  1.078  4000
xi[7]      -0.002   1.209 -1.434 -0.332 -0.001  0.324  1.594  1.165  4000
xi[8]      -0.023   1.005 -1.577 -0.335 -0.001  0.319  1.537  1.102  4000
xi[9]      -0.100   0.752 -1.900 -0.372 -0.053  0.270  1.264  1.060    65
xi[10]      0.118   0.980 -1.435 -0.248  0.170  0.561  1.368  1.178    46
xi[11]     -0.013   1.038 -1.624 -0.333 -0.005  0.329  1.487  1.122  4000
xi[12]      0.019   0.914 -1.499 -0.301  0.008  0.325  1.495  1.075  4000
xi[13]      0.001   1.054 -1.529 -0.315  0.011  0.343  1.588  1.122  4000
xi[14]     -0.012   0.958 -1.558 -0.329  0.003  0.315  1.495  1.096  4000
xi[15]      0.049   0.766 -1.082 -0.163  0.103  0.235  1.244  1.135   710
xi[16]      0.024   0.961 -1.544 -0.332  0.006  0.335  1.573  1.079  3800
xi[17]     -0.023   0.965 -1.612 -0.346 -0.018  0.315  1.502  1.091  1800
xi[18]      0.015   0.917 -1.499 -0.311  0.011  0.358  1.506  1.081  4000
xi[19]      0.023   0.922 -1.400 -0.336  0.005  0.328  1.542  1.080  1600
xi[20]      0.019   0.912 -1.534 -0.341 -0.003  0.340  1.610  1.072  2000
xi[21]      0.016   1.071 -1.452 -0.324 -0.003  0.328  1.540  1.135  4000
xi[22]      0.003   1.108 -1.589 -0.332  0.007  0.309  1.612  1.137  4000
xi[23]      0.111   0.912 -1.333 -0.239  0.142  0.529  1.423  1.130    87
xi[24]      0.007   0.953 -1.415 -0.333 -0.004  0.324  1.522  1.088  3000
xi[25]     -0.013   0.911 -1.501 -0.325 -0.018  0.321  1.551  1.073  2100
xi[26]      0.003   0.850 -1.447 -0.341 -0.017  0.326  1.509  1.047  4000
xi[27]      0.010   0.933 -1.621 -0.306  0.043  0.357  1.453  1.077  2100
xi[28]      0.056   0.826 -1.415 -0.247  0.118  0.293  1.506  1.078   420
xi[29]      0.004   1.110 -1.554 -0.310  0.017  0.339  1.651  1.126  4000
xi[30]      0.013   0.879 -1.435 -0.319  0.018  0.331  1.496  1.050  1200
xi[31]      0.163   0.978 -1.264 -0.195  0.205  0.626  1.245  1.215    36
xi[32]      0.015   0.932 -1.513 -0.269 -0.013  0.349  1.307  1.109  2600
xi[33]     -0.002   1.037 -1.516 -0.295 -0.027  0.290  1.452  1.147   900
xi[34]      0.020   0.984 -1.423 -0.294  0.027  0.351  1.488  1.109  3100
xi[35]      0.004   0.947 -1.398 -0.305  0.025  0.311  1.455  1.114  3600
xi[36]      0.024   1.012 -1.485 -0.260  0.085  0.282  1.438  1.116  4000
xi[37]      0.006   0.872 -1.464 -0.331  0.015  0.314  1.440  1.066  4000
xi[38]      0.000   1.018 -1.399 -0.330 -0.019  0.307  1.607  1.117  4000
xi[39]      0.100   0.673 -1.341 -0.217  0.166  0.418  1.211  1.117    35
deviance    7.563   5.587 -2.883  4.014  7.387 11.131 19.046  1.126    26

