Date,year,Site_location,LONGITUDE,LATITUDE,Region,Site_number,Clade,Species_name,Collection_no,Plant_no,Height,Canopy_1,Canopy_2,fwt_lam_pet,swt_lam_pet,swt_lam,area_lam_pet,area_lam,lam_width,lam_length,petiole_width,petiole_length,lamina_thickness,hairiness,dwt_lam_pet,dwt_lam,SLA,LMA,Canopy_area,LWratio,FWC,genus
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,1,.,.,.,0.025,0.023,0.02,0.57,0.52,0.4,1,0.51,0.8,0.263,.,0.003,0.003,173.333,0.005769231,.,2.5,7.333333333,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,2,.,.,.,0.057,0.056,0.052,1.03,0.92,0.5,1.1,0.85,0.8,0.563,.,0.01,0.01,92,0.010869565,.,2.2,4.7,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,3,.,.,.,0.02,0.021,0.019,0.46,0.4,0.3,0.8,0.58,0.8,0.575,.,0.006,0.005,80,0.0125,.,2.666666667,2.333333333,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,4,.,.,.,0.028,0.028,0.026,0.57,0.53,0.4,0.7,0.49,0.7,0.463,.,0.006,0.005,106,0.009433962,.,1.75,3.666666667,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,5,.,.,.,0.018,0.019,0.018,0.43,0.41,0.2,0.8,0.6,0.6,0.586,.,0.006,0.005,82,0.012195122,.,4,2,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,6,.,.,.,0.021,0.022,0.019,0.42,0.37,0.2,0.7,0.48,0.5,0.556,.,0.005,0.005,74,0.013513514,.,3.5,3.2,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,7,.,.,.,0.02,0.02,0.02,0.27,0.25,0.2,0.7,0.38,0.3,0.428,.,0.006,0.006,41.667,0.024,.,3.5,2.333333333,1
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,8,.,.,.,0.024,0.023,0.022,0.35,0.34,0.2,0.6,0.32,0.2,0.651,.,0.004,0.005,68,0.014705882,.,3,5,1
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,1,15,15,13,0.316,0.32,0.24,12.23,11.2,1.4,2.7,1.17,7.9,0.184,2,0.052,0.038,294.737,0.003392857,153.1526419,1.928571429,5.076923077,1
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,2,19,9,10,0.13,0.132,0.094,7.58,6.83,1.5,2.3,0.59,7,0.113,2,0.02,0.014,487.857,0.00204978,70.68583471,1.533333333,5.5,1
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,3,25,23,24,0.44,0.442,0.26,16.58,14.68,2.5,3.2,0.99,13,0.118,2,0.06,0.04,367,0.002724796,433.5397862,1.28,6.333333333,1
